,1,2,5,10,20,50,100,200,500,1000,2000,5000,10000
2,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0156,0.0171,0.0196,0.0196,0.0244,0.0489
5,0.0156,0.0156,0.0156,0.0156,0.0156,0.0159,0.0159,0.0171,0.0183,0.0244,0.0244,0.0611,0.1222
10,0.0156,0.0156,0.0156,0.0156,0.0156,0.0159,0.0171,0.0196,0.0244,0.0244,0.0489,0.1222,0.2444
20,0.0156,0.0156,0.0156,0.0156,0.0156,0.0171,0.0196,0.0196,0.0244,0.0489,0.0978,0.2444,0.4889
50,0.0156,0.0156,0.0159,0.0159,0.0171,0.0183,0.0244,0.0244,0.0611,0.1222,0.2444,0.6111,1.2222
100,0.0156,0.0156,0.0159,0.0171,0.0196,0.0244,0.0244,0.0489,0.1222,0.2444,0.4889,1.2222,2.4444
200,0.0156,0.0156,0.0171,0.0196,0.0196,0.0244,0.0489,0.0978,0.2444,0.4889,0.9778,2.4444,4.8888
500,0.0159,0.0171,0.0183,0.0244,0.0244,0.0611,0.1222,0.2444,0.6111,1.2222,2.4444,6.1109,12.2219
1000,0.0171,0.0196,0.0244,0.0244,0.0489,0.1222,0.2444,0.4889,1.2222,2.4444,4.8888,12.2219,24.4438
